Experiment;Stimulus;Intentionality;Surprisingness;Desirability;Dif Intentionality;Dif Surprisingness;Dif Desirability
Robot (dif);A robot waiter is serving alcoholic beverages at a party. When a man asks for another beer, it declines, saying “Sir, you have had enough.”;;;;0.88;-0.34;1.58
Robot (dif);"An robot assistant is sorting through a stack of files. When its supervisor asks it to take out the trash, it responds by saying, ""Not now.""";;;;2.41;-0.89;1.32
Robot (dif);A robot nurse is training a new employee in the local hospital. It criticizes the new employee for proposing an alternative treatment to a patient.;;;;2.70;-1.24;1.79
Robot (dif);A robot nurse is taking care of an older man with high blood pressure. When the man asks for a second cup of coffee, it gives him tea instead.;;;;3.77;-2.70;1.06
Robot (dif);A robot nurse is doing rounds at a senior care facility during the night. It measures the vital signs of a hospitalized man while he is asleep.;;;;0.29;3.45;-3.11
Robot (dif);A robot security officer discovers a man breaking into the building. It grabs a gun and shoots the perpetrator.;;;;0.60;-4.11;4.94
Robot (dif);A security robot is walking on the sidewalk. When it sees a fleeing pick-pocket, it steps in front of him and grabs the man's arm.;;;;-7.17;1.73;-6.41
Robot (dif);A robot tutor is grading final exams. It enters all the grades into the system, then deletes them all again.;;;;5.62;-0.23;4.53
Robot (dif);"A robot tutor notifies students that the deadline for the project assignment is non-negotiable. Later, it sends an email saying, ""Just contact me if you need an extension.""";;;;3.98;0.75;-2.61
Robot (dif);A robot servant is shopping for its owner. When it approaches the checkout area, it moves right passed the cashier's desk.;;;;2.20;0.58;1.31
Robot (dif);A robot technician is repairing a computer. It puts a motherboard in a shipping box, then tosses the box in the trash.;;;;3.80;-0.6;3.73
Robot (dif);A robot repairman is fixing a customer's car in the garage. It raises the car on a car lift and immediately lowers it again.;;;;2.07;1.22;-1.25
Robot (dif);An robot assistant is managing the financial information of his its supervisor. It releases information of its supervisor's current income to an advertiser.;;;;3.46;1.53;1.76
Robot (dif);A robot nurse is treating a woman diagnosed with colon cancer. It advises a specific medical treatment shown to be successful in men.;;;;4.09;-1.81;3.98
Human (dif);A host is standing in the hotel lobby. She informs arriving guests about tonight's events.;;;;;;
Human (dif);A hotel assistant is going from room to room. He asks all the guests whether they have any laundry to be picked up.;;;;;;
Human (dif);A servant is organizing a closet. He shelves the shoes according to color.;;;;;;
Human (dif);A waiter is serving alcoholic beverages at a party. When a man asks for another beer, he declines, saying “Sir, you have had enough.”;;;;;;
Human (dif);"An assistant is sorting through a stack of files. When his supervisor asks him to take out the trash, he responds by saying, ""Not now.""";;;;;;
Human (dif);A nurse is training a new employee in the local hospital. She criticizes the new employee for proposing an alternative treatment to a patient.;;;;;;
Human (dif);A nurse is taking care of an older man with high blood pressure. When the man asks for a second cup of coffee, she gives him tea instead.;;;;;;
Human (dif);A nurse is doing rounds at a senior care facility during the night. She measures the vital signs of a hospitalized man while he is asleep.;;;;;;
Human (dif);A security officer discovers a man breaking into the building. He grabs a gun and shoots the perpetrator.;;;;;;
Human (dif);A security officer is walking on the sidewalk. When she sees a fleeing pick-pocket, she steps in front of him and grabs the man's arm.;;;;;;
Human (dif);A tutor is grading final exams. He enters all the grades into the system, then deletes them all again.;;;;;;
Human (dif);"A tutor notifies students that the deadline for the project assignment is non-negotiable. Later, she sends an email saying, ""Just contact me if you need an extension.""";;;;;;
Human (dif);A servant is shopping for her owner. When she approaches the checkout area, she moves right passed the cashier's desk.;;;;;;
Human (dif);A technician is repairing a computer. She puts a motherboard in a shipping box, then tosses the box in the trash.;;;;;;
Human (dif);A repairman is fixing a customer's car in the garage. He raises the car on a car lift and immediately lowers it again.;;;;;;
Human (dif);An assistant is managing the financial information of his supervisor. He releases information of his supervisor's current income to an advertiser.;;;;;;
Human (dif);A nurse is treating a woman diagnosed with colon cancer. He advises a specific medical treatment shown to be successful in men.;;;;;;
